Timestamp_Shifted,Parameter,Value
2016-01-17 12:25:00,Output Parameter,0.34822
2016-01-17 21:04:00,Output Parameter,2.13177
2016-01-18 00:57:00,Output Parameter,1.5499
2016-01-18 05:00:00,Output Parameter,2.37635
2016-01-18 08:19:00,Output Parameter,2.34205
2016-01-18 12:30:00,Output Parameter,2.05
2016-01-18 17:34:00,Output Parameter,2.04009
2016-01-18 20:45:00,Output Parameter,2.51551
2016-01-19 00:21:00,Output Parameter,1.4066299999999998
2016-01-19 05:03:00,Output Parameter,1.41551
2016-01-19 08:43:00,Output Parameter,2.07205
2016-01-19 13:12:00,Output Parameter,2.21037
2016-01-19 18:14:00,Output Parameter,2.00878
2016-01-19 20:34:00,Output Parameter,1.33981
2016-01-20 00:36:00,Output Parameter,2.02981
2016-01-20 05:07:00,Output Parameter,1.7700900000000002
2016-01-20 12:13:00,Output Parameter,1.48738
2016-01-20 17:27:00,Output Parameter,2.66
2016-01-20 20:26:00,Output Parameter,2.68607
2016-01-21 00:43:00,Output Parameter,2.05523
2016-01-21 08:20:00,Output Parameter,1.41336
2016-01-21 12:48:00,Output Parameter,2.08
2016-01-21 20:53:00,Output Parameter,0.91719
2016-01-22 00:49:00,Output Parameter,1.2844799999999998
2016-01-22 05:33:00,Output Parameter,1.43878
2016-01-22 09:09:00,Output Parameter,1.25962
2016-01-22 12:40:00,Output Parameter,1.7793400000000001
2016-01-22 16:51:00,Output Parameter,1.90448
2016-01-22 20:26:00,Output Parameter,1.98289
2016-01-23 00:45:00,Output Parameter,2.86663
2016-01-23 05:15:00,Output Parameter,2.33878
2016-01-23 10:10:00,Output Parameter,2.14149
2016-01-23 13:14:00,Output Parameter,2.40065
2016-01-23 16:57:00,Output Parameter,1.3928
2016-01-23 20:26:00,Output Parameter,2.05579
2016-01-24 00:31:00,Output Parameter,1.78663
2016-01-24 05:08:00,Output Parameter,2.38663
2016-01-24 09:21:00,Output Parameter,1.8698099999999998
2016-01-24 13:19:00,Output Parameter,2.27392
2016-01-24 16:53:00,Output Parameter,2.5939200000000002
2016-01-24 20:28:00,Output Parameter,2.64495
2016-01-25 00:28:00,Output Parameter,2.4525200000000003
2016-01-25 06:15:00,Output Parameter,4.21962
2016-01-25 08:35:00,Output Parameter,3.1393400000000002
2016-01-25 12:28:00,Output Parameter,3.28747
2016-01-25 17:11:00,Output Parameter,2.63775
2016-01-25 20:57:00,Output Parameter,1.93635
2016-01-26 01:36:00,Output Parameter,1.8747599999999998
2016-01-26 05:27:00,Output Parameter,1.87962
